"id","img","description","created_at","title","other"
1,clubs/images/Клубы1.jpg,"Популяризация киберспорта среди молодёжи с ОВЗ, где ты сможешь попробовать себя в компьютерных дисциплинах и найти друзей с общими интересами. Количество мест ограничено.",2025-12-07 13:45:03.463 +0700,"Клуб ""Время быть""","Каждый вторник // 16:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://clck.ru/3P43Wp"
2,clubs/images/Клуб2.jpg,"Развиваем свои навыки, уверенность и социальные качества через различные тренинги. Занятия, на которых мы прокачаем актёрское мастерство, будем развивать харизму и осваивать сценическую речь.",2025-12-07 13:45:54.029 +0700,"Клуб ""Театральный импульс""","Каждый вторник // 17:00 // ул. Глинки, 23
Ссылка на регистрацию: https://vk.cc/cHVUgP"
4,clubs/images/Клуб4.jpg,"Хочешь попробовать новые техники и создавать что-то уникальное? Здесь осваиваем хэнд-мейд: роспись, лепка, создание декора, аксессуаров и много других творческих штук. Всё, что нужно — желание творить!",2025-12-07 13:47:19.400 +0700,"Клуб ""Творческая мастерская""","Каждую среду // 18:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://vk.cc/cPpzKJ"
5,clubs/images/Клуб5.jpg,"Знакомимся с миром нейросетей, узнаем, что такое ИИ, научимся работать с популярными сервисами для генерации текста, изображений, музыки и видео,а также применять ИИ в учебе, творчестве и повседневной жизни.",2025-12-07 13:48:14.125 +0700,"Клуб ""Основы искусственного интеллекта""","Каждую среду // 19:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://clck.ru/3NzGkE"
6,clubs/images/Клуб6.jpg,"Подойдёт тем, кто хочет освоить основы пайки и сделать первые шаги в мире электроники. Узнаем какие инструменты и материалы нужны для работы, как организовать безопасное пространство дома, научимся уверенно пользоваться паяльником, создавать прочные соединения и собирать простые устройства.",2025-12-07 13:48:50.316 +0700,"Клуб ""Паяльник +""","Каждый четверг // 19:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://clck.ru/3P42se"
8,clubs/images/Клуб8.jpg,"Курс стартует 9 октября и продлится до 13 ноября
Хочешь освоить профессию фотографа с нуля? Мы подготовили идеальную программу для твоего быстрого старта в фотографии. Всего за 6 занятий ты сможешь научиться настраивать фотоаппарат, узнать секреты крутых ракурсов и построения кадра, понять, как правильно использовать свет и цвет в фотографии, а также как использовать студийное оборудование и научиться снимать в разных стилях.",2025-12-07 13:50:10.282 +0700,"Интенсив для фотографов ""Ракурс""","Каждую четверг // 18:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://clck.ru/3P3zAr"
9,clubs/images/Клуб9.jpg,"Это поддерживающее окружение для самовыражения и личностного роста. На занятиях тебя ждут тематические обсуждения, психологические игры и мастер-классы.",2025-12-07 13:50:54.407 +0700,"Объединение ""Безопасное место""","Первое занятие пройдёт: 27 сентября // 18:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://clck.ru/3P9ooV"
10,clubs/images/Клуб10.jpg,"Это место для тех, кто увлекается компьютерными играми и хочет развиваться в киберспорте. Тебя ждут совместные игровые сессии, тренировки, просмотр обучающих материалов и турниров.",2025-12-07 13:51:34.245 +0700,"Клуб ""Тактиклуб""","Каждое воскресенье // 17:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://clck.ru/3P42gs"
7,clubs/images/Клуб7.jpg,"Погружаемся в мир виртуальной реальности, узнаем о процессе разработки VR-игр, особенностях их создания и сферах применения. Многопользовательские игры, квесты, гонки, спортивные симуляторы и даже путешествия по историческим эпохам — всё это ждёт тебя на занятиях.",2025-12-07 13:49:23.272 +0700,"Клуб ""Портал VR""","Каждую пятницу // 16:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://clck.ru/3PTmgX"
3,clubs/images/Клубы3.jpg,"Видеоклуб по мобильной съёмке стартует 
уже 30 сентября. Для создания классного видеоконтента, уже давно достаточно одного смартфона. И мы готовы научить делать видеоролики качественно. В клубе тебя научат снимать трендовые ролики, покажут множество фишек монтажа, расскажут о работе с композицией, ракурсами и планами.",2025-12-07 13:46:37.424 +0700,Видеоклуб по мобильной съемке,"Каждый вторник // 18:00 // пр. Красноярский рабочий, 115А
Ссылка на регистрацию: https://vk.cc/cPjoHM"
